,adr
number_of_reviews,-0.1780802090988512
is_guest_favorite,-0.10164831547976147
is_superhost,-0.09084650835358093
number_of_reviews_host,-0.03987726004570679
value_rating,0.01216201545233801
guest_satisfaction_overall,0.0568899604712531
years_host,0.06249556149581041
star_rating,0.07543547464747381
location_rating,0.18792753628712372
picture_count,0.20245055885655572
number_of_beds,0.3851408893779478
cleaning_fee,0.4239173893844839
number_of_guests,0.5176364415006764
number_of_bathrooms,0.5471530497761569
number_of_bedrooms,0.599552721733695
