airbnb_listing_id,number_of_bedrooms,number_of_bathrooms,number_of_guests,listing_type,owner_id,suburb_norm,perfil,noites,receita_bruta,adr,adr_mediana,data_min,data_max,receita_anual_potencial,receita_anual_60,is_superhost
991407580891691701,3,2.0,6,apartamento,227777128,Meia Praia,3q+,67,110763.4167,683.7247944444445,627.0,2025-01-20,2025-04-20,249559.54997222222,149735.72998333332,False
41193865,3,2.0,7,apartamento,311642729,Meia Praia,3q+,74,62457.5,410.9046052631579,400.0,2025-01-15,2025-04-20,149980.18092105264,89988.10855263159,False
45973790,2,2.0,4,apartamento,145049953,Meia Praia,2q,101,168901.8337,652.130632046332,657.0,2025-01-06,2025-04-20,238027.6806969112,142816.60841814673,True
40899047,2,2.0,6,apartamento,318589301,Meia Praia,2q,37,11007.0,297.4864864864865,290.0,2025-02-24,2025-04-07,108582.56756756757,65149.54054054054,True
15980108,4,3.0,10,apartamento,103820177,Meia Praia,3q+,39,58500.0,1500.0,1500.0,2025-02-09,2025-04-07,547500.0,328500.0,False
1023885231203292759,1,1.0,4,apartamento,272771814,Meia Praia,Studio/1q,80,105722.33332,520.7996715270937,490.0,2025-01-26,2025-04-20,190091.88010738918,114055.1280644335,True
8936081,2,2.0,5,apartamento,46714863,Meia Praia,2q,27,13312.0,493.037037037037,460.0,2025-02-28,2025-04-06,179958.5185185185,107975.11111111111,False
787847078680683474,2,2.0,6,apartamento,491824858,Tabuleiro Dos Oliveiras,2q,63,58760.0,389.13907284768214,330.0,2025-01-11,2025-04-20,142035.761589404,85221.4569536424,False
768032727158094436,3,2.0,7,apartamento,478531409,Meia Praia,3q+,18,21600.0,1200.0,1200.0,2025-03-19,2025-04-05,438000.0,262800.0,True
1184152596221501552,1,1.0,4,apartamento,227777128,Centro,Studio/1q,81,117838.6668,598.165821319797,601.0,2025-01-22,2025-04-20,218330.52478172592,130998.31486903554,False
24171739,3,2.0,8,apartamento,157399374,Meia Praia,3q+,31,25293.0,451.6607142857143,416.0,2025-03-01,2025-04-16,164856.1607142857,98913.69642857142,True
822365439954007216,3,3.0,8,apartamento,500157182,Meia Praia,3q+,80,137463.5,723.4921052631579,730.5,2025-01-13,2025-04-20,264074.61842105264,158444.77105263158,True
45780750,3,2.0,6,apartamento,162121775,Meia Praia,3q+,12,10200.0,850.0,850.0,2025-04-08,2025-04-19,310250.0,186150.0,False
21280090,3,2.0,8,apartamento,61447280,Meia Praia,3q+,64,130500.25,825.9509493670886,850.0,2025-01-16,2025-04-20,301472.0965189873,180883.2579113924,True
673825002694927178,3,4.0,8,apartamento,157399374,Meia Praia,3q+,42,87560.0,796.0,784.0,2025-01-27,2025-03-31,290540.0,174324.0,True
