suburb_norm,perfil,anuncios,noites_mediana,adr_mediana,receita_bruta_potencial,receita_anual_60,preco_mediana,preco_media,n_ofertas,roi_potencial,roi_60,payback_60_anos
Alto Sao Bento,2q,1,48.0,188.375,68756.875,41254.125,618710.0,614482.0857142857,35.0,11.11294063454607,6.667764380727643,14.997530549975306
Alto Sao Bento,3q+,1,62.0,2586.3951612903224,944034.2338709676,566420.5403225806,,,,,,
Alto Sao Bento,Studio/1q,3,63.0,291.42857142857144,106371.42857142858,63822.857142857145,,,,,,
Areal,Studio/1q,1,37.0,550.7972972972973,201041.01351351352,120624.6081081081,,,,,,
Canto Da Praia,2q,4,62.0,531.2330508474577,193900.06355932204,116340.0381355932,1221806.5,1218329.4285714286,14.0,15.869948601462019,9.52196916087721,10.502029392288803
Canto Da Praia,3q+,4,75.5,701.9679284648188,256218.29388965887,153730.9763337953,1984400.0,2840466.8170731706,82.0,12.911625372387567,7.746975223432538,12.908263821152625
Canto Da Praia,Studio/1q,1,82.0,799.1158536585366,291677.28658536583,175006.37195121948,780000.0,671400.0,7.0,37.394523921200744,22.436714352720447,4.456980573355431
Casa Branca,2q,11,63.0,377.38461538461536,137745.3846153846,82647.23076923075,655000.0,660875.5,20.0,21.02982971227246,12.617897827363473,7.925250415575376
Casa Branca,3q+,2,64.0,442.65289500772,161568.3066778178,96940.98400669068,778000.0,1856806.5714285714,7.0,20.76713453442388,12.46028072065433,8.025501370465808
Casa Branca,Studio/1q,2,34.0,274.5,100192.5,60115.5,,,,,,
Centro,2q,67,67.0,575.9787374485596,210232.23916872428,126139.34350123456,1170000.0,1194644.0568181819,88.0,17.968567450318314,10.781140470190987,9.275456550862332
Centro,3q+,56,62.0,793.5194326330532,289634.5929110644,173780.75574663864,2798800.0,3698770.9816933637,874.0,10.348527687261127,6.2091166123566754,16.105350606717774
Centro,Studio/1q,82,76.0,449.9514101398601,164232.26470104893,98539.35882062935,890000.0,885548.7142857143,21.0,18.45306344955606,11.071838069733635,9.031924001251744
Ilhota,2q,4,53.5,450.9653929343908,164602.36842105264,98761.42105263157,,,,,,
Ilhota,3q+,4,69.0,628.6668595679012,229463.40374228393,137678.04224537036,2845125.0,3431507.1304347827,23.0,8.06514313930966,4.8390858835857955,20.66505997324836
Ilhota,Studio/1q,2,83.5,342.598982283046,125048.62853331178,75029.17711998707,220000.0,232063.2,5.0,56.8402856969599,34.104171418175945,2.9321926275184227
Jardim Praiamar,Studio/1q,1,60.0,194.86666666666667,71126.33333333334,42675.8,,,,,,
Leopoldo Zarling,Studio/1q,1,70.0,215.5504762857143,78675.92384428572,47205.55430657143,,,,,,
Meia Praia,2q,190,56.0,487.4661678594665,177925.1512687053,106755.09076122317,1075000.0,1132991.237704918,244.0,16.551176862205143,9.930706117323085,10.0697773973555
Meia Praia,3q+,399,60.0,729.5034482758621,266268.7586206897,159761.2551724138,2499270.0,3231875.4266838543,3103.0,10.653861272319103,6.392316763391462,15.643780447911455
Meia Praia,Studio/1q,41,65.0,415.1524942857143,151530.66041428572,90918.39624857143,877500.0,924075.8035714285,56.0,17.268451329263332,10.361070797557998,9.651512083439195
Morretes,2q,59,64.0,454.006172962963,165712.2531314815,99427.35187888889,790000.0,782190.4070881226,1044.0,20.976234573605254,12.585740744163152,7.94549975506024
Morretes,3q+,16,58.5,778.3099162703963,284083.1194386947,170449.8716632168,990000.0,2478610.0046948357,213.0,28.695264589767138,17.217158753860282,5.808159257262983
Morretes,Studio/1q,7,47.0,356.9583333333333,130289.79166666666,78173.87499999999,624500.0,634478.16,50.0,20.86305711235655,12.51783426741393,7.988602330382115
None,Studio/1q,3,52.0,700.0096153846154,255503.5096153846,153302.10576923075,,,,,,
Sertao Do Trombudo,3q+,1,41.0,1263.9423076923076,461338.94230769225,276803.3653846153,3000000.0,2708333.3333333335,3.0,15.377964743589741,9.226778846153843,10.838018518422029
Sertao Do Trombudo,Studio/1q,2,79.5,384.2295238095238,140243.7761904762,84146.26571428572,950000.0,950000.0,2.0,14.762502756892232,8.857501654135339,11.289865235679926
Sertaozinho,2q,1,86.0,483.43023255813955,176452.03488372095,105871.22093023256,529360.0,529360.0,1.0,33.33308804664518,19.999852827987112,5.00003679327397
Sertaozinho,3q+,3,96.0,1664.3,607469.5,364481.7,,,,,,
Sertaozinho,Studio/1q,2,67.0,273.8550824175824,99957.10508241758,59974.26304945055,,,,,,
Tabuleiro Dos Oliveiras,2q,12,61.0,469.8544117647059,171496.86029411765,102898.11617647059,781919.5,779095.9056603773,106.0,21.93280258314541,13.159681549887244,7.598968076918003
Tabuleiro Dos Oliveiras,3q+,7,78.0,789.6676470588235,288228.6911764706,172937.21470588236,850000.0,1122108.0,15.0,33.909257785467126,20.34555467128028,4.915078581817172
Tabuleiro Dos Oliveiras,Studio/1q,1,8.0,100.0,36500.0,21900.0,820000.0,820000.0,1.0,4.451219512195122,2.6707317073170733,37.44292237442922
Varzea,3q+,2,60.0,1278.3862359550562,466610.97612359555,279966.58567415737,795000.0,804333.3333333334,3.0,58.693204543848495,35.2159227263091,2.8396245862185525
Varzea,Studio/1q,3,35.0,195.72916666666666,71441.14583333333,42864.68749999999,,,,,,
